v,x_minus,x_plus
0.035,-0.07008585517258643,0.06991435491522885
0.0362771285475793,-0.07264986650301608,0.0724588990062665
0.037554257095158604,-0.0752145909997213,0.0750027361644959
0.0388313856427379,-0.07778005400192456,0.07754584173220712
0.0401085141903172,-0.08034628087306435,0.08008819107543219
0.041385642737896494,-0.08291329700163573,0.08262975958473577
0.0426627712854758,-0.0854811278020328,0.08517052267600422
0.043939899833055095,-0.0880497987153927,0.08771045579123272
0.04521702838063439,-0.0906193352104418,0.09024953439931083
0.046494156928213695,-0.09318976278434342,0.09278773399680622
0.04777128547579299,-0.09576110696354784,0.09532503010874632
0.04904841402337229,-0.09833339330464418,0.09786139828939831
0.05032554257095159,-0.10090664739521434,0.10039681412304698
0.05160267111853089,-0.10348089485468914,0.1029312532247704
0.052879799666110186,-0.10605616133520676,0.10546469124121394
0.05415692821368949,-0.10863247252247328,0.10799710385136176
0.055434056761268787,-0.11120985413662554,0.11052846676730621
0.05671118530884808,-0.11378833193309666,0.11305875573501506
0.05798831385642739,-0.11636793170348377,0.1155879465350966
0.059265442404006684,-0.11894867927641815,0.11811601498356183
0.06054257095158598,-0.12153060051843838,0.12064293693258506
0.061819699499165284,-0.1241137213348657,0.12316868827126143
0.06309682804674457,-0.12669806767068223,0.12569324492636216
0.06437395659432388,-0.12928366551141204,0.1282165828630875
0.06565108514190318,-0.13187054088400496,0.13073867808581674
0.06692821368948249,-0.13445871985772329,0.13325950663885563
0.06820534223706178,-0.1370482285450314,0.13577904460718143
0.06948247078464106,-0.13963909310248857,0.13829726811718493
0.07075959933222037,-0.14223133973164476,0.14081415333740988
0.07203672787979967,-0.14482499467993948,0.14332967647928935
0.07331385642737898,-0.14742008424160394,0.14584381379787953
0.07459098497495828,-0.1500166347585666,0.14835654159259037
0.07586811352253757,-0.15261467262136197,0.15086783620791352
0.07714524207011686,-0.15521422427004272,0.153377674034147
0.07842237061769616,-0.15781531619509556,0.1558860315081169
0.07969949916527547,-0.16041797493836035,0.15839288511389601
0.08097662771285477,-0.1630222270939531,0.16089821138351942
0.08225375626043407,-0.1656280993091924,0.16340198689769672
0.08353088480801336,-0.16823561828553005,0.16590418828652115
0.08480801335559265,-0.1708448107794849,0.1684047922301753
0.08608514190317196,-0.1734557036035813,0.1709037754596337
0.08736227045075126,-0.17606832362729072,0.17340111475736195
0.08863939899833057,-0.1786826977779781,0.17589678695801234
0.08991652754590986,-0.1812988530418521,0.17839076894911615
0.09119365609348916,-0.18391681646491936,0.1808830376717726
